Date,Close
04/01/2021 16:00:00,729.77
05/01/2021 16:00:00,735.11
06/01/2021 16:00:00,755.98
07/01/2021 16:00:00,816.04
08/01/2021 16:00:00,880.02
11/01/2021 16:00:00,811.19
12/01/2021 16:00:00,849.44
13/01/2021 16:00:00,854.41
14/01/2021 16:00:00,845
15/01/2021 16:00:00,826.16
19/01/2021 16:00:00,844.55
20/01/2021 16:00:00,850.45
21/01/2021 16:00:00,844.99
22/01/2021 16:00:00,846.64
25/01/2021 16:00:00,880.8
26/01/2021 16:00:00,883.09
27/01/2021 16:00:00,864.16
28/01/2021 16:00:00,835.43
29/01/2021 16:00:00,793.53
01/02/2021 16:00:00,839.81
02/02/2021 16:00:00,872.79
03/02/2021 16:00:00,854.69
04/02/2021 16:00:00,849.99
05/02/2021 16:00:00,852.23
08/02/2021 16:00:00,863.42
09/02/2021 16:00:00,849.46
10/02/2021 16:00:00,804.82
11/02/2021 16:00:00,811.66
12/02/2021 16:00:00,816.12
16/02/2021 16:00:00,796.22
17/02/2021 16:00:00,798.15
18/02/2021 16:00:00,787.38
19/02/2021 16:00:00,781.3
22/02/2021 16:00:00,714.5
23/02/2021 16:00:00,698.84
24/02/2021 16:00:00,742.02
25/02/2021 16:00:00,682.22
26/02/2021 16:00:00,675.5
01/03/2021 16:00:00,718.43
02/03/2021 16:00:00,686.44
03/03/2021 16:00:00,653.2
04/03/2021 16:00:00,621.44
05/03/2021 16:00:00,597.95
08/03/2021 16:00:00,563
09/03/2021 16:00:00,673.58
10/03/2021 16:00:00,668.06
11/03/2021 16:00:00,699.6
12/03/2021 16:00:00,693.73
15/03/2021 16:00:00,707.94
16/03/2021 16:00:00,676.88
17/03/2021 16:00:00,701.81
18/03/2021 16:00:00,653.16
19/03/2021 16:00:00,654.87
22/03/2021 16:00:00,670
23/03/2021 16:00:00,662.16
24/03/2021 16:00:00,630.27
25/03/2021 16:00:00,640.39
26/03/2021 16:00:00,618.71
29/03/2021 16:00:00,611.29
30/03/2021 16:00:00,635.62
31/03/2021 16:00:00,667.93
01/04/2021 16:00:00,661.75
05/04/2021 16:00:00,691.05
06/04/2021 16:00:00,691.62
07/04/2021 16:00:00,670.97
08/04/2021 16:00:00,683.8
09/04/2021 16:00:00,677.02
12/04/2021 16:00:00,701.98
13/04/2021 16:00:00,762.32
14/04/2021 16:00:00,732.23
